last,first,middle,dob,ssn,case_id,participant_id,participant_closing_date,recent_benefit_months,protect_location
Farrington,Theodore,Carri,10/13/1931,425-46-5417,caseid1,participantid1,2020-01-13,2021-04 2021-03 2021-02,TRUE
Lynn,Wesley,Eura,8/1/1940,195-26-4789,caseid2,participantid2,2021-04-03,2021-05 2021-04,FALSE
Cullen,S,,1/1/1915,357-18-1705,caseid3,participantid3,2020-12-30,2021-05,
Alger,Megan,Kamala,1/25/1920,400-36-2448,caseid4,participantid4,2021-10-01,,
Yu,,,11/2/1973,282-20-6988,caseid5,participantid5,,,
Wallen,Homer,Madonna,4/4/1913,127-20-6810,caseid6,participantid6,,,
Benner,Cristina,Wilton,7/22/1961,375-30-7787,caseid7,participantid7,,,
Whittaker,Troy,G,2/15/1985,573-38-4513,caseid8,participantid8,,,
Grier,Paulette,Tequila,12/24/1997,404-28-9817,caseid9,participantid9,,,
Suarez,Amelia,Shavonda,1/19/1950,575-24-8382,caseid10,participantid10,,,
Ali Junior,Ahmed,,1/1/1971,423-32-7469,caseid11,participantid11,,,
Bartholomew Jnr,Antonio,,2/2/1972,400-32-6054,caseid12,participantid12,,,
Chapin Jr.,Haden,,3/3/1973,056-22-2559,caseid13,participantid13,,,
Deng Jr,Wilfred,,4/4/1974,466-36-2669,caseid14,participantid14,,,
Emmerholdt Senior,Daniel,,5/5/1975,395-20-6249,caseid15,participantid15,,,
Finn Snr,Harrison,,6/6/1976,016-22-7459,caseid16,participantid16,,,
Garcia Sr.,Loic,,7/7/1977,508-20-0253,caseid17,participantid17,,,
Hansen iii,Jesus,,8/8/1978,561-40-4846,caseid18,participantid18,,,
Ilunga III,Brian,,9/9/1979,369-26-4291,caseid19,participantid19,,,
Jacobin iv,Erroll,,10/10/1980,461-36-9801,caseid20,participantid20,,,
Kim IV,Yan,,11/11/1981,048-20-6872,caseid21,participantid21,,,
Lin v,Luis,,12/12/1982,165-20-2755,caseid22,participantid22,,,
Mohamed V,Benjie,,1/1/1983,457-76-1558,caseid23,participantid23,,,
Nguyen vi,Elijah,,2/1/1983,204-20-2728,caseid24,participantid24,,,
Oueddraogo VI,Omar,,3/1/1983,009-12-8353,caseid25,participantid25,,,
Papadopoulos vii,Ari,,4/1/1983,204-20-2729,caseid26,participantid26,,,
Quispe VII,Marco,,5/1/1983,457-76-1559,caseid27,participantid27,,,
Rossi viii,Michel,,6/1/1983,204-20-2729,caseid28,participantid28,,,
Sok VIII,Alexander,,7/1/1983,009-12-8352,caseid29,participantid29,,,
Tan vi,Paul,,8/1/1983,043-22-1175,caseid30,participantid30,,,
Unger VI,Babat,,9/1/1983,134-16-6966,caseid31,participantid31,,,
Valdez-Valim,Marco,,10/1/1983,031-20-1194,caseid32,participantid32,,,
Wilifred-Max-Voigt,Michelle,,11/1/1983,439-38-7706,caseid33,participantid33,,,
Senior,Salma,,12/1/1983,552-76-6442,caseid34,participantid34,,,
Junior,Lucia,,1/1/1984,116-24-4231,caseid35,participantid35,,,
Boone   Lawson,Pavel,,1/2/1984,306-07-8767,caseid36,participantid36,,,
  Smith  ,John,,1/3/1984,281-03-0645,caseid37,participantid37,,,
O'Grady,Maria,,1/4/1984,325-10-9176,caseid38,participantid38,,,
Ku`u Maka,Ahe,,1/5/1984,225-30-5395,caseid39,participantid39,,,
U,Than,,1/6/1984,550-01-6981,caseid40,participantid40,,,
